First,Last,Nickname,Date of Birth,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt,SLpM,Str.Acc,SApM,Str.Def,TD.Avg,TD.Acc,TD.Def,Sub.Avg
Scott,Baker,,--,6' 0",210 lbs.,--,,1,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Bryan,Baker,The Beast,Oct 13 1985,6' 3",185 lbs.,--,Orthodox,18,5,0,--,1.78,52,2.83,45,0.44,50,37,0.9
Oluwale,Bamgbose,Holy War Angel,Aug 04 1987,5' 11",185 lbs.,78.0",Switch,6,4,0,--,2.45,48,2.70,55,0.94,33,37,0.0
Stephen,Banaszak,,Dec 07 1990,6' 0",145 lbs.,--,,5,5,0,--,4.20,47,1.15,66,0.00,0,100,1.9
Marcin,Bandel,Bomba,Oct 10 1989,5' 10",155 lbs.,--,Orthodox,15,7,0,--,0.79,50,5.26,23,0.00,0,0,0.0
Humberto,Bandenay,,Sep 04 1994,5' 11",145 lbs.,71.0",Southpaw,14,7,0,--,2.22,41,4.79,41,2.90,46,62,0.5
Tae Hyun,Bang,Supernatural,Apr 15 1983,5' 9",155 lbs.,71.0",Switch,18,10,0,--,2.72,38,2.07,66,0.49,33,57,0.5
Yohan,Banks,,--,--,--,--,,2,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Antonio,Banuelos,,Sep 23 1979,5' 5",135 lbs.,63.0",Orthodox,20,11,1,--,2.69,33,3.15,58,1.62,62,86,0.4
Renan,Barao,The Baron,Jan 31 1987,5' 6",145 lbs.,70.0",Orthodox,34,9,0,--,3.78,36,3.90,57,1.49,41,91,0.5
Junior,Barata,,Jan 25 1982,5' 10",170 lbs.,--,Orthodox,9,3,1,--,4.03,33,8.46,34,0.00,0,0,0.0
Maycee,Barber,The Future,May 18 1998,5' 5",125 lbs.,65.0",Switch,8,2,0,--,5.21,52,3.00,50,1.44,40,80,0.2
Bryan,Barberena,Bam Bam,May 03 1989,6' 0",170 lbs.,72.0",Southpaw,15,7,0,--,5.48,48,4.70,45,0.23,28,60,0.5
Edson,Barboza,Junior,Jan 21 1986,5' 11",145 lbs.,75.0",Orthodox,22,9,0,--,4.16,44,4.15,59,0.42,44,78,0.1
Raoni,Barcelos,,May 01 1987,5' 7",135 lbs.,67.0",Orthodox,16,1,0,--,5.59,52,4.17,67,2.23,56,85,0.7
Daniel,Barez,,Dec 10 1988,5' 6",125 lbs.,--,,12,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Luke,Barnatt,The Bigslow,Apr 13 1988,6' 6",185 lbs.,77.0",Orthodox,13,4,0,--,4.43,36,3.87,59,0.63,42,63,0.4
James,Barnes,,--,5' 8",145 lbs.,--,,7,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Nick,Barnes,,--,5' 11",170 lbs.,--,,11,2,0,--,2.86,29,8.93,51,5.36,100,100,5.4
Josh,Barnett,The Warmaster,Nov 10 1977,6' 3",250 lbs.,78.0",Orthodox,35,8,0,--,3.20,50,2.11,57,1.26,55,55,1.4
Chris,Barnett,Beastboy,Jun 14 1986,5' 9",265 lbs.,75.0",Orthodox,21,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Chris,Barnhizer,,--,--,--,--,,2,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
David,Baron,,Feb 15 1973,5' 6",155 lbs.,--,Switch,17,4,1,--,1.17,30,2.10,56,0.00,0,14,0.7
Phil,Baroni,The New York Bad Ass,Apr 16 1976,5' 9",170 lbs.,72.0",Orthodox,15,18,0,--,2.77,45,3.93,40,1.46,47,60,0.5
Dan,Barrera,The Fireman,Dec 23 1980,5' 9",170 lbs.,--,Orthodox,3,1,0,--,0.80,70,1.20,28,1.00,8,0,0.0
Carlos,Barreto,,--,6' 4",230 lbs.,--,Orthodox,14,9,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jose,Barreto,,--,--,185 lbs.,--,Southpaw,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Peter,Barrett,Slippery,Aug 10 1986,5' 10",145 lbs.,73.0",Southpaw,11,5,0,--,4.18,61,4.32,42,1.39,22,66,0.0
Marc-Andre,Barriault,Powerbar,Feb 18 1990,6' 1",185 lbs.,74.0",Orthodox,12,4,0,--,5.36,48,4.79,55,0.43,25,72,0.0
David,Barrios,,--,5' 6",145 lbs.,--,,4,8,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Alexandre,Barros,Baixinho,Nov 19 1976,5' 9",170 lbs.,--,Southpaw,22,11,0,--,0.98,40,4.05,36,1.84,50,100,0.0
Ricardo,Barros,,Mar 22 1976,6' 1",205 lbs.,--,,2,2,0,--,0.00,0,8.22,31,0.00,0,100,0.0
Francimar,Barroso,Bodao,Feb 28 1980,6' 1",205 lbs.,75.0",Orthodox,19,7,0,--,2.77,52,3.07,59,2.22,24,83,0.0
Pat,Barry,HD,Jul 07 1979,5' 11",235 lbs.,74.0",Orthodox,8,7,0,--,2.72,52,3.54,59,0.00,0,76,0.2
Dean,Barry,The Sniper,Mar 07 1992,--,155 lbs.,--,,3,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Enrique,Barzola,El Fuerte,Apr 28 1989,5' 7",145 lbs.,70.0",Orthodox,17,5,2,--,3.91,41,2.97,68,4.20,45,66,0.3
Stephen,Bass,Bigfish,Nov 14 1982,5' 9",145 lbs.,--,Orthodox,11,2,0,--,4.87,52,5.87,55,0.00,0,0,0.0
Sean,Bassett,,--,--,155 lbs.,--,,0,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ryan,Bastianelli,Relentless,--,5' 5",135 lbs.,--,,6,7,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Shayna,Baszler,The Queen of Spades,Aug 08 1980,5' 7",135 lbs.,--,Orthodox,15,11,0,--,2.49,30,6.36,51,0.67,18,44,1.3
Michel,Batista,,Apr 20 1984,6' 3",260 lbs.,--,Orthodox,4,1,0,--,0.00,0,4.03,40,6.72,50,0,0.0
Alan,Baudot,The Black Samourai,Feb 01 1988,6' 3",243 lbs.,79.0",Orthodox,8,2,0,--,1.89,25,10.11,36,0.00,0,0,0.0
Mario,Bautista,,Jul 01 1993,5' 9",135 lbs.,69.0",Switch,8,2,0,--,5.71,45,4.78,54,0.48,33,70,0.0
Chris,Beal,Real Deal,Aug 06 1985,5' 7",125 lbs.,69.0",Orthodox,10,5,0,--,3.45,35,3.18,61,1.60,58,78,0.2
Rudy,Bears,,--,5' 11",170 lbs.,--,Southpaw,16,15,0,--,1.27,29,2.53,50,0.00,0,0,0.0
Salvador,Becerra,,--,5' 9",155 lbs.,--,,5,2,0,--,4.57,31,3.83,58,0.00,0,66,0.0
Ariel,Beck,,Sep 16 1990,5' 6",125 lbs.,66.0",Southpaw,4,5,0,--,4.44,34,4.31,64,0.00,0,0,0.0
Jeff,Bedard,Little Popeye,Feb 06 1970,5' 6",145 lbs.,--,Orthodox,13,3,0,--,0.80,51,0.00,100,3.43,66,100,2.6
Eric,Bedard,Lucky Strikes,Sep 11 1984,6' 2",239 lbs.,--,,6,7,0,--,6.37,35,8.54,52,0.00,0,0,0.0
Johnny,Bedford,Brutal,Jan 06 1983,5' 10",135 lbs.,71.0",Orthodox,21,13,1,--,4.53,50,1.75,63,1.83,62,62,0.0
Chase,Beebe,,Mar 29 1985,5' 7",135 lbs.,67.0",Orthodox,24,13,1,--,2.17,38,1.64,69,2.49,42,41,0.9
Lyle,Beerbohm,Fancy Pants,Feb 05 1979,5' 10",155 lbs.,--,Southpaw,24,3,0,--,1.98,55,1.61,54,2.10,23,64,0.3
Mirsad,Bektic,,Feb 16 1991,5' 8",145 lbs.,70.0",Orthodox,13,4,0,--,2.43,41,1.80,57,3.98,52,92,0.4
Diana,Belbita,The Warrior Princess,Jun 26 1996,5' 7",125 lbs.,68.0",Orthodox,13,6,0,--,5.81,39,6.49,52,1.69,66,64,0.0
Alan,Belcher,The Talent,Apr 24 1984,6' 2",185 lbs.,75.0",Orthodox,18,8,0,--,2.70,41,3.10,59,0.44,26,55,0.9
Vitor,Belfort,The Phenom,Apr 01 1977,6' 0",185 lbs.,74.0",Southpaw,26,14,0,--,1.59,46,2.83,50,1.02,60,53,0.6
Danilo,Belluardo,Caterpillar,Jul 21 1994,6' 0",155 lbs.,74.0",Southpaw,12,5,0,--,1.52,61,4.79,41,3.50,100,50,0.0
Joey,Beltran,The Mexicutioner,Dec 08 1981,6' 1",185 lbs.,75.0",Orthodox,17,14,0,--,4.92,36,5.27,54,0.48,18,75,0.0
Marco,Beltran,Psycho,May 18 1986,5' 8",125 lbs.,69.0",Orthodox,8,6,0,--,2.07,37,1.93,63,0.70,50,46,0.2
Joseph,Benavidez,,Jul 31 1984,5' 4",125 lbs.,65.0",Southpaw,28,8,0,--,3.52,34,2.67,61,1.41,30,62,0.6
Mike,Bencic,Batman,--,6' 0",215 lbs.,--,Orthodox,1,2,0,--,0.00,0,3.32,53,0.00,0,0,0.0
Dave,Beneteau,Dangerous,--,6' 2",250 lbs.,--,Orthodox,6,5,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Karla,Benitez,,--,5' 3",113 lbs.,--,,14,11,1,--,0.00,0,2.40,57,0.00,0,100,0.0
Gabriel,Benitez,Moggly,Jun 15 1988,5' 8",155 lbs.,71.0",Southpaw,22,9,0,--,4.38,38,3.26,70,0.17,50,56,1.2
Charles,Bennett,Krazy Horse,Nov 23 1979,5' 8",155 lbs.,--,Orthodox,30,33,2,--,1.39,39,1.35,64,2.02,100,36,2.0
Josh,Bennett,,--,6' 4",259 lbs.,--,Orthodox,11,14,0,--,2.90,40,5.80,43,1.50,100,100,0.0
DeAnna,Bennett,The Argentine Assassin,Nov 18 1984,5' 4",125 lbs.,68.0",Orthodox,8,3,1,--,3.13,58,3.27,58,0.00,0,0,1.0
Lance,Benoist,,Aug 26 1988,5' 11",170 lbs.,72.0",Southpaw,7,2,0,--,3.68,51,2.70,56,1.50,33,61,0.0
Joe,Benoit,,Mar 12 1982,5' 9",170 lbs.,--,Orthodox,11,4,0,--,0.00,0,0.00,100,0.00,0,0,0.0
Ryan,Benoit,Baby Face,Aug 25 1989,5' 5",125 lbs.,68.0",Orthodox,10,7,0,--,2.95,41,3.40,60,0.33,25,70,0.5
Pat,Benson,,--,5' 9",155 lbs.,--,,3,5,3,--,0.00,0,0.00,0,0.00,0,0,0.0
Len,Bentley,,Nov 30 1982,5' 9",155 lbs.,--,,10,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Steve,Berger,The Red Nosed Pitbull,May 20 1973,5' 11",170 lbs.,--,Orthodox,21,23,2,--,1.00,27,3.26,36,0.84,40,16,1.7
Kenneth,Bergh,,Jun 26 1989,6' 2",205 lbs.,74.0",Orthodox,8,0,0,--,4.56,75,1.27,28,0.00,0,0,0.0
Bret,Bergmark,The Angry Hick,Nov 24 1973,5' 9",170 lbs.,--,,6,1,1,--,2.78,52,2.78,37,4.17,100,50,4.2
Keith,Berish,Sha Bang Bang,Nov 14 1985,6' 0",205 lbs.,--,Orthodox,5,1,0,--,3.58,36,4.81,62,1.76,40,0,0.0
Dennis,Bermudez,The Menace,Dec 13 1986,5' 6",155 lbs.,66.0",Orthodox,17,9,0,--,4.42,46,3.07,59,3.89,40,82,1.1
Manny,Bermudez,The Bermudez Triangle,Jul 16 1994,5' 10",145 lbs.,71.0",Orthodox,14,2,0,--,2.92,61,2.68,46,3.06,54,0,3.1
Talita,Bernardo,,Mar 04 1987,5' 4",135 lbs.,68.0",Orthodox,6,4,0,--,3.12,42,4.04,55,1.62,22,28,0.5
Dave,Berry,,--,--,--,--,,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Keith,Berry,,Oct 25 1987,6' 1",185 lbs.,--,,15,14,1,--,0.27,12,6.27,28,0.00,0,0,0.0
Dieusel,Berto,,--,5' 9",200 lbs.,--,,0,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Edson,Berto,Little Tiger,Jul 05 1983,5' 6",155 lbs.,--,Orthodox,17,12,1,--,1.76,36,4.62,47,5.47,40,0,2.7
Allen,Berube,Monstah Lobstah,Aug 25 1974,5' 8",155 lbs.,--,Orthodox,4,3,0,--,0.92,80,0.92,33,6.87,100,0,3.4
Anton,Berzin,The Body Snatcher,Sep 29 1989,6' 2",205 lbs.,--,Orthodox,5,1,0,--,4.40,46,6.80,67,2.00,28,0,1.0
Scott,Bessac,,--,6' 4",245 lbs.,--,,4,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Matt,Bessette,The Mangler,Dec 28 1984,5' 10",145 lbs.,70.0",Orthodox,22,9,0,--,4.36,41,4.45,58,0.64,28,61,0.3
Khadzhi,Bestaev,Best,Jul 16 1988,6' 6",185 lbs.,76.0",,10,4,0,--,6.15,29,10.00,43,0.00,0,0,0.0
Fernando,Bettega,,Mar 10 1980,--,170 lbs.,--,,7,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Arjan,Bhullar,,May 13 1986,6' 1",245 lbs.,75.0",Orthodox,9,1,0,--,2.33,56,3.25,59,1.73,75,100,0.0
KB,Bhullar,The Bengal,Oct 12 1991,6' 4",185 lbs.,78.0",Switch,8,2,0,--,4.31,49,5.39,45,0.00,0,0,0.0
Bibulatov,Magomed,Chaborz,Aug 22 1988,5' 5",125 lbs.,65.0",Orthodox,14,2,0,--,3.60,51,1.83,52,2.85,40,75,0.0
David,Bielkheden,,Jun 06 1979,5' 10",155 lbs.,71.0",Orthodox,24,12,0,--,1.11,57,1.64,54,2.65,63,14,0.0
Jeremiah,Billington,,Nov 14 1977,5' 9",205 lbs.,--,Orthodox,11,2,0,--,1.60,62,7.06,35,0.00,0,50,0.0
Scott,Bills,,--,5' 10",170 lbs.,--,,7,9,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Anthony,Birchak,El Toro,May 16 1986,5' 8",135 lbs.,69.0",Orthodox,16,8,0,--,3.93,36,3.67,56,0.48,14,61,0.5
Chris,Birchler,The Big Buck,Jun 05 1987,6' 3",205 lbs.,--,Switch,7,4,0,--,9.35,46,14.83,35,0.00,0,0,0.0
Michael,Bisping,The Count,Feb 28 1979,6' 1",185 lbs.,75.0",Orthodox,30,9,0,--,4.33,38,2.71,65,1.05,43,63,0.3
Amaury,Bitetti,,--,5' 9",185 lbs.,--,Orthodox,5,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Caio,Bittencourt,,May 22 1997,6' 0",185 lbs.,--,,14,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Simon,Biyong,,Apr 05 1991,--,205 lbs.,--,,7,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jan,Blachowicz,,Feb 24 1983,6' 2",205 lbs.,78.0",Orthodox,28,8,0,Champ,3.59,49,2.79,53,1.18,53,65,0.2
Jason,Black,The Black Legion,Jul 15 1972,5' 8",155 lbs.,--,Orthodox,23,4,1,--,1.06,47,2.60,45,0.48,33,28,6.2
Brad,Blackburn,Bad Brad,May 25 1977,5' 10",170 lbs.,73.0",Orthodox,18,13,1,--,4.55,35,3.59,65,0.93,50,76,0.7
Jason,Blackford,,--,--,--,--,,3,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tom,Blackledge,,--,--,205 lbs.,--,Orthodox,10,7,0,--,2.91,61,2.55,46,0.00,0,75,0.0
Sherrard,Blackledge,The Thriller,Aug 16 1993,5' 11",155 lbs.,75.0",Orthodox,5,1,0,--,3.70,49,3.13,55,4.00,33,42,0.0
Erin,Blanchfield,Cold Blooded,May 04 1999,5' 4",135 lbs.,66.0",Orthodox,6,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Maximo,Blanco,Maxi,Oct 16 1983,5' 8",145 lbs.,71.0",Orthodox,12,8,1,--,4.11,44,3.19,66,1.85,36,63,0.3
David,Blanco,,--,5' 7",145 lbs.,--,,2,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Curtis,Blaydes,Razor,Feb 18 1991,6' 4",265 lbs.,80.0",Orthodox,14,3,0,--,3.59,53,1.70,57,6.64,54,33,0.0
Arlene,Blencowe,Angerfist,Apr 11 1983,5' 5",145 lbs.,--,,9,6,0,--,2.31,43,2.10,43,0.00,0,55,0.6
Byron,Bloodworth,,Aug 16 1983,5' 8",135 lbs.,--,Orthodox,6,3,0,--,1.82,28,5.18,50,0.00,0,0,0.0
Dashawn,Boatwright,Buck, the 400-pound Silverback,Feb 29 1988,6' 0",205 lbs.,--,Orthodox,3,1,0,--,0.00,0,52.50,12,0.00,0,0,0.0
Dan,Bobish,,Jan 26 1970,6' 2",345 lbs.,--,Southpaw,17,9,0,--,2.06,44,1.74,34,2.44,42,0,1.6
Mark,Bocek,,Oct 24 1981,5' 8",155 lbs.,75.0",Orthodox,12,5,0,--,2.34,43,2.32,60,3.65,36,31,1.3
Kyle,Bochniak,Killer B,Feb 05 1987,5' 7",145 lbs.,70.0",Orthodox,8,5,0,--,2.63,31,5.11,58,1.14,15,62,0.0
James,Bochnovic,,Feb 13 1989,6' 4",205 lbs.,81.0",Orthodox,8,3,0,--,0.65,26,3.64,21,0.00,0,0,0.0
Jeremy,Boczulak,,--,--,--,--,,0,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tim,Boetsch,The Barbarian,Jan 28 1981,6' 0",185 lbs.,74.0",Orthodox,21,13,0,--,2.93,50,2.90,57,1.45,34,59,0.8
Galore,Bofando,,May 22 1982,5' 11",170 lbs.,72.0",Switch,5,3,0,--,3.63,45,3.63,54,2.37,100,50,0.0
Jay,Bogan,,--,--,145 lbs.,--,,6,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Roman,Bogatov,,Dec 15 1990,5' 8",155 lbs.,73.0",Orthodox,10,1,0,--,3.33,42,4.40,44,1.00,9,50,0.0
Derek,Bohi,Marshmallow,--,6' 4",260 lbs.,--,,8,5,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Jerry,Bohlander,,Feb 12 1974,5' 11",199 lbs.,--,Orthodox,11,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mandy,Bohm,Monster,--,5' 6",125 lbs.,--,,7,0,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kotetsu,Boku,,May 27 1977,5' 9",154 lbs.,--,Orthodox,25,11,2,--,2.47,42,2.80,53,0.00,0,0,0.0
Kyle,Bolt,,--,6' 2",185 lbs.,--,,8,4,0,--,7.27,52,7.27,45,0.00,0,0,0.0
Denys,Bondar,Psycho,Jun 27 1992,5' 6",125 lbs.,--,Orthodox,12,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Luc,Bondole,,--,6' 2",205 lbs.,--,,5,2,2,--,3.35,51,2.04,62,0.00,0,0,1.8
Tony,Bonello,The Gun,--,6' 2",185 lbs.,--,,16,3,1,--,0.62,33,12.62,10,0.00,0,0,0.0
Jesse,Bongfeldt,Water,Aug 28 1980,6' 0",185 lbs.,--,Orthodox,16,5,1,--,2.91,62,1.01,50,1.51,33,33,0.0
Marcos,Bonilla,Murder Marx,--,5' 10",145 lbs.,--,,4,4,0,--,0.47,12,0.47,94,0.00,0,0,0.0
Stephan,Bonnar,The American Psycho,Apr 04 1977,6' 4",205 lbs.,79.0",Orthodox,15,9,0,--,2.76,38,3.01,52,1.32,40,60,1.0
Rogerio,Bontorin,,Apr 25 1992,5' 5",125 lbs.,67.0",Orthodox,17,3,0,--,2.82,53,3.41,43,1.68,43,51,1.2
Ray,Borg,The Tazmexican Devil,Aug 04 1993,5' 4",135 lbs.,63.0",Orthodox,13,5,0,--,1.52,52,1.93,48,3.89,50,46,1.0
Igor,Borisov,,--,6' 0",235 lbs.,--,Orthodox,1,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Calen,Born,,May 24 1988,5' 8",170 lbs.,72.0",Switch,7,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Caio,Borralho,,Jan 16 1993,6' 1",185 lbs.,--,,8,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tanner,Boser,The Bulldozer,Aug 02 1991,6' 2",255 lbs.,75.0",Orthodox,19,7,1,--,4.54,55,2.70,63,0.00,0,100,0.0
Steve,Bosse,The Boss,Jul 29 1981,5' 11",205 lbs.,72.0",Orthodox,12,2,0,--,5.99,52,5.38,50,0.92,33,100,0.0
Marcus,Bossett,The Grasshopper,--,6' 1",215 lbs.,--,Orthodox,1,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Chris,Bostick,,--,--,--,--,,6,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Poliana,Botelho,,Dec 15 1988,5' 8",115 lbs.,67.0",Orthodox,8,4,0,--,2.83,57,2.75,50,0.92,57,80,0.0
Francois,Botha,White Buffalo,Sep 28 1968,6' 2",260 lbs.,--,Orthodox,0,1,0,--,0.00,0,1.05,77,0.00,0,0,0.0
Gregory,Bouchelaghem,,--,6' 2",183 lbs.,--,Switch,5,4,0,--,0.27,21,1.53,36,0.00,0,50,0.0
Roy,Boughton,Black Dynamite,--,6' 0",205 lbs.,--,,14,8,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Rich,Bouphanouvong,,--,5' 7",170 lbs.,--,,1,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mike,Bourke,The Rhino,--,6' 0",275 lbs.,--,Orthodox,10,16,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Jess,Bouscal,,--,--,155 lbs.,--,,3,2,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Tai,Bowden,,--,5' 11",230 lbs.,--,,1,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Melton,Bowen,The Punisher,Jul 16 1969,6' 0",225 lbs.,--,Orthodox,0,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Kyron,Bowen,Bullseye,Dec 22 1993,6' 3",185 lbs.,73.0",Orthodox,9,5,0,--,2.73,57,2.05,40,0.00,0,0,0.0
Brian,Bowles,,Jun 22 1980,5' 7",135 lbs.,70.0",Orthodox,10,3,0,--,2.36,26,2.98,64,1.39,70,54,1.4
Roger,Bowling,Relentless,Dec 05 1982,5' 9",155 lbs.,68.0",Orthodox,12,6,0,--,3.90,47,3.86,51,3.09,43,27,0.9
Blake,Bowman,,--,6' 2",170 lbs.,--,,2,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Ashe,Bowman,The Archer,Nov 17 1976,5' 9",155 lbs.,--,,9,11,0,--,2.43,42,4.86,57,0.00,0,0,0.0
Colley,Bradford,,--,5' 7",145 lbs.,--,,0,1,0,--,0.43,25,1.73,50,19.42,50,100,0.0
Kyle,Bradley,,Aug 19 1982,5' 9",155 lbs.,71.0",Orthodox,19,12,0,--,1.99,40,3.45,58,0.65,50,40,0.0
Paul,Bradley,The Gentleman,Jun 13 1983,5' 9",170 lbs.,--,Orthodox,23,8,0,--,2.26,32,4.13,56,1.12,16,100,0.0
Sean,Brady,,Nov 23 1992,5' 10",170 lbs.,72.0",Orthodox,14,0,0,--,4.72,55,3.60,63,2.69,60,100,1.2
Ebenezer Fontes,Braga,Pitbull,Apr 14 1969,6' 0",199 lbs.,--,Orthodox,13,7,2,--,2.42,50,0.42,71,0.00,0,90,0.6
Ramiz,Brahimaj,,Nov 17 1992,5' 10",170 lbs.,72.0",Orthodox,8,3,0,--,3.73,36,6.14,55,0.00,0,100,0.0
Joe,Brammer,The South Side Strangler,Aug 23 1983,5' 8",155 lbs.,--,Orthodox,7,3,1,--,2.15,31,2.80,56,0.81,50,50,0.0
David,Branch,,Sep 26 1981,6' 1",185 lbs.,78.0",Orthodox,22,6,0,--,1.66,39,1.91,56,2.55,32,43,0.0
Diego,Brandao,DB,May 27 1987,5' 7",145 lbs.,64.0",Orthodox,22,11,0,--,2.94,47,3.38,62,3.21,68,80,0.6
Michael,Bravo,,--,--,155 lbs.,--,,7,4,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Martin,Bravo,El Toro,Sep 21 1993,5' 8",145 lbs.,71.0",Southpaw,11,3,0,--,7.66,39,5.72,51,2.60,35,85,0.0
Mike,Breeden,Money,Apr 21 1989,5' 10",155 lbs.,70.0",Orthodox,8,3,0,--,4.00,34,5.87,47,0.00,0,77,0.0
Tom,Breese,,Sep 26 1991,6' 3",185 lbs.,73.0",Southpaw,12,3,0,--,3.34,50,2.81,60,0.00,0,70,1.1
Chris,Brennan,The Westside Strangler,Oct 12 1971,5' 8",170 lbs.,--,Orthodox,21,13,1,--,0.60,40,0.97,50,0.00,0,25,2.1
Charlie,Brenneman,The Spaniard,Feb 09 1981,5' 10",155 lbs.,70.0",Orthodox,19,8,0,--,1.52,56,1.55,46,4.23,42,72,0.0
Robert,Breslin,The Bullet,--,5' 11",155 lbs.,--,,3,9,0,--,2.21,46,3.50,66,1.38,100,50,0.0
Mack,Brewer,,--,--,205 lbs.,--,,0,1,0,--,0.00,0,6.67,36,0.00,0,0,0.0
Marcos,Brigagao,Ironside,Apr 01 1996,6' 3",205 lbs.,76.0",Southpaw,11,1,0,--,3.07,43,3.27,25,0.00,0,36,0.0
Jason,Brilz,Hitman,Jul 07 1975,5' 11",205 lbs.,71.0",Orthodox,22,6,1,--,2.66,40,1.78,65,2.37,25,25,1.3
Marcus,Brimage,The Bama Beast,Apr 06 1985,5' 4",135 lbs.,71.0",Southpaw,7,7,0,--,3.97,35,3.64,56,0.56,100,80,0.0
Aaron,Brink,,Nov 12 1974,6' 3",205 lbs.,--,Orthodox,26,26,0,--,3.49,42,5.71,57,0.00,0,0,0.0
Henry,Briones,Bure,Oct 22 1980,5' 8",135 lbs.,69.0",Orthodox,16,8,1,--,3.47,42,4.68,53,0.00,0,52,0.6
Marcelo,Brito,Jungle Boy,Nov 27 1977,6' 1",170 lbs.,--,Orthodox,13,8,0,--,0.60,20,3.53,55,0.00,0,50,0.0
Joanderson,Brito,Tubarao,Feb 11 1995,5' 8",145 lbs.,--,,11,2,1,--,0.00,0,0.00,0,0.00,0,0,0.0
Antwain,Britt,The Juggernaut,May 09 1978,6' 1",205 lbs.,77.0",,11,6,0,--,1.46,39,2.81,44,1.56,40,50,0.0
Drew,Brokenshire,,--,--,--,--,,16,6,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Mike,Bronzoulis,The Greek,Jan 05 1979,6' 0",155 lbs.,--,,18,9,1,--,1.13,34,2.54,37,0.00,0,33,0.0
Jonathan,Brookins,,Aug 13 1985,6' 0",145 lbs.,74.0",Southpaw,16,10,0,--,2.69,39,3.63,56,1.94,17,80,0.3
Will,Brooks,Ill,Oct 08 1986,5' 10",155 lbs.,72.0",Orthodox,18,4,0,--,4.26,59,2.54,56,2.08,51,82,0.3
Jarred,Brooks,The Monkey God,May 02 1993,5' 3",125 lbs.,62.0",Switch,13,2,0,--,2.12,46,1.66,62,4.54,57,69,0.6
Rob,Broughton,The Bear,Mar 03 1983,6' 2",265 lbs.,74.0",Orthodox,16,7,1,--,2.83,60,2.54,51,0.00,0,26,3.2
Lee,Brousseau,Manimal,Oct 04 1974,6' 1",205 lbs.,--,,5,3,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Matt,Brown,The Immortal,Jan 10 1981,6' 0",170 lbs.,75.0",Orthodox,24,18,0,--,3.69,54,2.67,55,1.56,44,63,1.4
Mike,Brown,,Sep 08 1975,5' 6",145 lbs.,70.0",Orthodox,26,9,0,--,2.98,44,2.45,60,3.23,40,66,0.6
Dominic,Brown,,Jun 04 1982,5' 11",190 lbs.,--,,16,23,0,--,0.00,0,0.00,0,0.00,0,0,0.0
Todd,Brown,Bulldog,Dec 13 1976,5' 11",205 lbs.,--,Orthodox,16,4,0,--,2.15,45,3.85,48,0.00,0,50,0.0
Terrell,Brown,,Apr 13 1983,--,185 lbs.,--,,3,1,0,--,0.00,0,0.00,0,0.00,0,0,0.0
